Percent Return;Team Size;Leader Gender;Aggregate Sales Experience
77;20;Female;58
-7;20;Female;40
-7;16;Female;48
77;15;Female;56
-7;15;Female;45
-7;18;Female;45
-7;21;Female;45
-7;15;Female;41
77;20;Female;57
-7;20;Female;45
-7;17;Female;41
76;4;Female;58
-6;2;Male;54
-6;3;Female;53
-6;4;Female;55
-6;2;Female;49
-6;1;Female;51
-6;1;Female;45
-6;1;Female;51
-6;4;Female;51
-6;1;Female;48
-6;3;Female;48
-6;4;Female;48
-6;4;Female;43
76;4;Female;58
76;1;Female;58
76;5;Female;57
-6;4;Female;49
-6;5;Female;40
-6;5;Female;45
-6;3;Female;40
-6;1;Female;47
76;1;Female;60
76;5;Female;59
-6;2;Female;44
-6;3;Female;50
-6;4;Female;45
-6;3;Female;55
-6;4;Female;48
-6;3;Female;43
-6;1;Female;52
-6;5;Female;55
-6;3;Female;45
76;5;Female;60
-6;2;Female;48
76;1;Female;60
-6;1;Female;51
76;4;Female;56
-6;2;Female;52
76;2;Female;58
-6;4;Female;48
76;5;Female;57
76;5;Female;60
76;2;Female;58
-6;4;Female;43
76;5;Female;57
-6;3;Female;46
76;3;Female;56
76;4;Female;60
-6;4;Female;48
-6;3;Female;40
-6;1;Female;55
-6;5;Female;49
-6;3;Female;44
-6;4;Female;55
-6;3;Female;54
76;3;Female;56
-6;5;Female;41
-6;5;Female;42
-6;1;Female;47
76;4;Female;57
-6;4;Female;43
76;18;Female;58
-6;18;Female;45
-6;17;Female;42
-6;16;Female;48
-6;19;Female;53
-6;20;Female;47
-6;21;Female;50
76;15;Female;58
-6;19;Female;48
-6;20;Female;52
-6;18;Female;47
-6;19;Female;44
-6;21;Female;50
-6;19;Female;53
76;15;Female;58
-6;18;Female;50
-6;16;Female;47
-6;18;Female;41
-6;19;Female;50
-6;15;Male;43
76;16;Female;60
76;20;Female;59
-6;21;Female;52
76;20;Female;57
-6;18;Female;45
-6;21;Female;46
76;18;Female;60
-6;18;Female;46
-6;19;Female;43
-6;20;Female;48
-6;15;Female;54
-6;20;Female;50
-6;16;Female;46
76;21;Female;60
-6;21;Female;46
-6;18;Female;42
-6;15;Female;50
-6;16;Female;54
-6;20;Female;42
-6;18;Female;53
76;19;Female;56
-6;21;Female;42
-6;20;Female;43
-6;17;Female;50
-6;17;Female;45
-6;20;Female;41
76;16;Female;59
-6;20;Female;42
-6;20;Female;52
-6;20;Female;42
-6;16;Female;51
-6;18;Female;52
76;15;Female;57
-5;2;Female;51
-5;2;Female;43
-5;2;Female;42
-5;5;Female;41
-5;5;Female;43
-5;1;Female;50
75;5;Female;60
-5;1;Female;42
-5;2;Female;43
-5;1;Female;54
-5;4;Female;40
75;2;Female;56
-5;5;Female;41
75;2;Female;57
75;2;Female;59
75;5;Female;58
-5;3;Female;40
-5;1;Female;52
75;4;Female;59
-5;3;Female;48
-5;2;Female;51
-5;4;Female;53
75;5;Female;59
-5;1;Female;42
-5;1;Female;48
-5;3;Female;51
75;4;Female;58
-5;4;Female;42
75;2;Female;60
-5;5;Female;45
-5;3;Female;45
-5;2;Female;51
-5;5;Female;44
-5;4;Female;47
-5;3;Female;46
-5;5;Female;54
75;5;Female;56
-5;3;Female;40
-5;5;Female;47
75;1;Female;58
75;3;Female;57
-5;2;Female;44
-5;3;Female;41
-5;3;Female;44
-5;3;Female;48
75;4;Male;58
-5;4;Female;53
-5;1;Female;49
-5;2;Female;49
-5;3;Female;52
-5;3;Female;41
-5;3;Female;52
-5;4;Female;45
-5;1;Female;55
75;5;Female;60
75;1;Female;56
75;4;Female;58
75;4;Female;59
-5;1;Female;45
-5;4;Female;49
-5;4;Female;50
-5;1;Female;49
-5;3;Female;44
75;20;Female;59
-5;18;Female;53
-5;16;Female;46
-5;20;Female;50
75;15;Female;59
-5;19;Female;48
-5;21;Female;45
-5;21;Female;40
-5;21;Female;47
-5;15;Female;45
-5;15;Female;48
-5;21;Female;48
-5;20;Female;47
75;21;Female;56
-5;18;Female;53
-5;15;Female;51
75;20;Female;59
-5;20;Female;40
-5;20;Female;45
-5;17;Female;54
-5;20;Female;49
-5;18;Female;51
-5;15;Female;51
-5;19;Female;55
-5;19;Female;42
-5;17;Female;43
-5;17;Female;55
-5;16;Female;41
-5;15;Female;41
75;19;Female;57
-5;19;Female;47
75;17;Female;57
-5;19;Female;50
-5;18;Female;52
75;19;Female;59
-5;15;Female;55
-5;16;Female;52
-5;17;Female;53
-5;15;Female;54
-5;15;Female;51
75;21;Female;60
-5;16;Female;43
75;20;Female;60
-5;17;Female;43
-5;18;Female;51
75;21;Female;60
-5;16;Female;41
-4;4;Female;44
-4;1;Female;55
-4;3;Female;53
75;4;Female;56
-4;3;Female;53
75;5;Female;57
-4;2;Female;45
-4;3;Female;44
-4;3;Female;45
-4;3;Female;55
-4;4;Female;48
-4;4;Female;49
-4;4;Female;49
-4;2;Female;41
75;2;Male;60
-4;2;Female;40
-4;1;Female;47
-4;1;Female;40
-4;2;Female;43
-4;1;Female;54
75;3;Female;56
75;5;Female;57
75;1;Female;60
-4;3;Female;53
-4;4;Female;41
-4;5;Female;42
75;1;Female;60
75;3;Female;56
-4;2;Female;41
-4;3;Female;52
75;1;Female;57
75;4;Female;57
-4;4;Female;49
-4;3;Female;48
-4;4;Female;52
75;2;Female;60
-4;2;Female;48
-4;3;Female;51
75;2;Female;58
-4;2;Female;51
75;5;Female;56
-4;1;Female;49
-4;3;Female;51
-4;2;Female;44
-4;4;Female;41
75;3;Female;56
-4;5;Female;46
74;3;Female;56
-4;1;Female;43
-4;5;Female;51
-4;5;Female;47
-4;4;Female;51
74;4;Female;57
-4;1;Female;53
-4;1;Female;53
-4;4;Female;46
74;3;Female;59
-4;2;Female;51
-4;4;Female;49
-4;3;Female;51
-4;2;Female;42
74;1;Female;60
-4;5;Female;40
-4;1;Female;51
74;3;Female;60
-4;2;Female;50
-4;4;Female;48
-4;20;Female;50
-4;19;Female;43
-4;15;Female;48
-4;19;Female;41
74;15;Female;57
-4;20;Female;40
-4;20;Female;46
-4;19;Female;53
-4;17;Female;49
-4;19;Female;40
-4;21;Female;52
-4;16;Female;47
-4;18;Female;55
74;18;Female;57
-4;15;Female;45
74;17;Female;58
-4;20;Female;53
-4;19;Female;42
-4;20;Female;55
-4;15;Female;44
-4;15;Female;46
74;17;Female;58
-4;17;Female;46
74;18;Female;58
-4;16;Female;54
-4;18;Female;43
74;20;Male;59
-4;20;Female;46
-4;19;Female;48
74;19;Female;60
-4;15;Female;44
-4;21;Female;54
-4;21;Female;53
-4;20;Female;42
-4;21;Female;52
-4;21;Female;53
74;20;Female;58
-4;16;Female;47
-4;16;Female;41
-4;18;Female;47
-4;18;Female;41
-4;16;Female;44
-4;16;Female;49
74;19;Female;59
-4;20;Female;40
-4;21;Female;43
74;16;Female;59
74;19;Female;57
-4;20;Female;43
-4;20;Female;41
74;17;Female;58
-4;19;Female;54
-4;20;Female;46
-4;17;Female;48
-4;16;Female;42
-4;21;Female;42
-4;19;Female;47
-3;1;Female;45
-3;3;Female;52
-3;1;Female;51
73;1;Female;56
-3;4;Female;54
-3;2;Female;49
-3;5;Female;48
73;4;Female;57
-3;4;Female;51
-3;3;Female;54
73;3;Female;60
-3;3;Female;49
-3;3;Female;41
-3;1;Female;46
-3;3;Female;50
73;1;Female;59
73;1;Female;59
-3;4;Female;40
73;1;Female;56
73;2;Female;60
-3;3;Female;52
-3;4;Female;46
-3;2;Female;44
-3;5;Female;40
-3;3;Female;54
-3;4;Female;53
73;5;Female;57
-3;4;Female;43
73;2;Female;60
-3;4;Female;54
73;3;Female;60
-3;2;Female;48
73;1;Female;57
-3;4;Female;52
-3;2;Female;55
73;5;Female;58
-3;1;Female;45
-3;4;Female;46
-3;1;Female;45
73;3;Female;59
-3;5;Female;45
-3;4;Female;41
73;2;Female;60
-3;2;Female;42
-3;3;Female;45
-3;5;Female;53
-3;2;Female;52
-3;1;Female;52
-3;3;Male;42
-3;5;Female;45
-3;2;Female;55
-3;1;Female;48
73;5;Female;59
-3;3;Female;45
-3;3;Female;50
-3;4;Female;45
-3;3;Female;40
-3;19;Female;48
73;15;Female;60
73;17;Female;59
-3;21;Female;47
-3;17;Female;53
-3;15;Female;41
-3;20;Female;40
-3;21;Female;50
-3;16;Female;55
-3;20;Female;55
73;15;Female;59
-3;19;Female;48
73;21;Female;57
-3;21;Female;43
-3;16;Female;50
-3;16;Female;42
-3;16;Female;40
-3;16;Female;49
73;18;Male;57
-3;18;Female;41
-3;19;Female;44
73;15;Female;57
-3;18;Female;42
-3;20;Female;47
-3;20;Female;49
-3;15;Female;48
-3;18;Female;49
-3;21;Female;51
-3;16;Female;46
-3;16;Female;52
-3;18;Female;42
73;17;Female;60
-3;16;Female;54
-3;15;Female;40
73;19;Female;57
-3;21;Female;54
-3;21;Female;45
-3;16;Female;49
73;16;Female;60
-3;18;Female;42
-3;20;Female;53
-3;18;Female;46
-3;19;Female;52
-3;16;Female;50
-3;19;Female;55
73;19;Male;58
-3;15;Male;47
-3;16;Female;47
-3;18;Female;45
73;20;Female;56
-3;16;Female;55
73;19;Female;60
-3;17;Female;54
-3;19;Female;55
73;2;Female;56
-2;4;Female;54
-2;3;Female;54
-2;5;Female;41
-2;4;Female;50
-2;2;Female;52
73;4;Female;56
-2;5;Female;43
-2;1;Female;44
-2;5;Female;51
73;3;Female;60
-2;3;Female;44
-2;3;Female;49
-2;3;Female;45
-2;4;Female;45
-2;2;Female;42
-2;1;Female;54
-2;1;Female;48
-2;5;Female;49
-2;2;Female;54
73;4;Female;58
-2;5;Female;41
-2;5;Female;48
-2;1;Female;53
-2;2;Female;44
-2;1;Female;55
-2;1;Female;49
-2;4;Female;50
73;4;Female;59
72;3;Male;59
-2;1;Male;47
-2;3;Male;49
72;4;Male;56
-2;3;Male;52
72;1;Male;60
72;4;Male;57
-2;1;Male;42
-2;2;Male;45
-2;3;Male;46
-2;4;Male;45
-2;5;Male;52
-2;1;Male;48
-2;3;Male;46
-2;1;Male;51
-2;5;Male;50
72;2;Male;58
-2;2;Male;49
72;5;Male;56
-2;3;Male;53
72;2;Male;58
72;4;Male;56
-2;5;Male;47
-2;4;Male;42
-2;3;Male;54
-2;4;Male;46
-2;4;Male;52
-2;3;Male;52
-2;1;Male;41
-2;15;Male;55
72;17;Male;57
-2;15;Male;46
72;16;Male;60
-2;15;Male;49
-2;19;Male;48
-2;21;Male;46
-2;15;Male;46
-2;19;Male;46
-2;21;Male;52
-2;17;Male;52
-2;15;Male;43
-2;15;Male;43
72;16;Male;56
-2;18;Male;55
72;16;Male;60
-2;16;Male;53
72;21;Male;59
-2;21;Male;46
-2;18;Male;53
72;20;Male;58
-2;20;Male;44
-2;16;Male;54
-2;17;Male;42
-2;17;Male;45
-2;17;Male;41
-2;20;Male;49
-2;15;Male;47
72;19;Male;60
-2;20;Male;41
72;18;Male;59
72;19;Male;57
-2;21;Male;40
-2;19;Male;52
-2;18;Male;43
-2;17;Male;48
72;15;Male;57
-2;17;Male;48
72;19;Male;58
-2;18;Male;45
-2;19;Male;45
-2;15;Male;41
-2;17;Male;50
-2;18;Male;53
-2;20;Male;48
-2;19;Male;51
-2;20;Male;50
-2;15;Male;41
-2;19;Male;44
-2;20;Male;49
72;21;Male;60
-2;21;Male;53
-2;17;Male;52
72;5;Female;56
-1;4;Female;43
-1;2;Female;40
-1;4;Female;40
-1;1;Female;54
-1;4;Female;46
-1;5;Female;40
-1;4;Female;48
-1;2;Female;42
72;4;Female;57
72;2;Female;58
-1;3;Female;41
-1;1;Female;55
72;2;Female;56
-1;3;Female;52
-1;1;Female;44
-1;3;Female;41
-1;5;Female;53
-1;2;Female;40
-1;1;Female;52
-1;3;Female;46
-1;2;Female;50
-1;2;Female;46
-1;5;Female;45
-1;1;Female;44
71;4;Female;58
-1;4;Female;41
71;2;Female;58
-1;4;Female;54
-1;4;Female;49
71;4;Female;57
-1;2;Female;54
-1;3;Female;50
-1;5;Female;52
-1;1;Female;43
-1;2;Female;52
-1;1;Female;47
71;3;Female;56
-1;2;Female;41
-1;3;Female;52
-1;3;Female;48
71;2;Female;56
-1;4;Female;55
-1;3;Female;43
-1;2;Female;51
-1;2;Female;50
-1;2;Female;43
71;4;Female;59
-1;4;Female;43
-1;5;Female;50
-1;3;Female;40
71;5;Female;58
-1;5;Female;55
-1;1;Female;42
-1;5;Female;46
-1;5;Female;55
-1;5;Female;46
71;5;Female;57
-1;4;Female;43
-1;2;Female;47
-1;3;Female;41
-1;1;Female;47
71;2;Female;60
-1;5;Female;49
-1;3;Female;43
-1;3;Female;42
71;5;Female;56
71;2;Female;59
-1;4;Female;48
-1;4;Female;48
-1;3;Female;46
-1;4;Female;49
-1;5;Female;47
-1;3;Female;54
-1;2;Female;45
71;2;Female;57
-1;5;Female;50
-1;2;Female;55
-1;19;Female;41
-1;15;Female;44
-1;21;Female;45
-1;18;Female;49
71;21;Female;57
-1;17;Female;52
-1;17;Female;42
-1;16;Female;49
-1;15;Female;46
-1;20;Female;45
-1;21;Female;41
-1;21;Female;54
-1;18;Female;49
-1;19;Female;47
-1;15;Female;54
-1;16;Female;42
71;19;Female;60
-1;15;Female;42
71;19;Female;59
71;15;Female;59
-1;21;Female;51
-1;18;Female;49
-1;19;Female;52
71;15;Female;56
-1;21;Female;45
-1;16;Female;51
-1;15;Female;53
71;15;Female;58
-1;18;Female;46
-1;20;Female;47
-1;19;Female;45
71;18;Female;59
71;15;Female;59
-1;20;Female;48
71;17;Female;58
-1;21;Female;43
71;21;Female;58
-1;15;Female;54
-1;20;Female;46
-1;19;Female;45
-1;18;Female;50
-1;15;Female;47
-1;19;Female;53
0;3;Male;52
0;4;Male;50
0;1;Male;51
71;4;Male;58
0;1;Male;40
0;4;Male;51
0;3;Male;40
0;3;Male;43
0;4;Male;43
0;3;Male;45
71;5;Male;60
71;4;Male;58
0;2;Male;44
0;3;Male;47
0;1;Male;50
0;5;Male;40
0;1;Male;40
0;2;Male;52
0;2;Male;51
0;5;Male;51
71;5;Male;60
0;4;Male;46
0;4;Male;51
71;4;Male;60
0;2;Male;48
0;5;Male;50
0;2;Male;51
0;4;Male;54
0;3;Male;41
0;1;Male;55
0;4;Male;55
0;2;Male;45
0;1;Male;46
0;2;Male;55
0;5;Male;47
0;2;Male;50
0;3;Male;51
0;4;Male;42
0;1;Male;48
0;1;Male;47
0;5;Male;45
0;2;Male;51
0;3;Male;50
71;3;Male;58
0;2;Male;48
71;3;Male;57
0;1;Male;48
71;4;Male;58
0;3;Male;41
0;1;Male;48
0;3;Male;43
0;2;Male;44
0;5;Male;49
0;2;Male;50
0;1;Male;43
0;1;Male;53
0;3;Male;54
0;1;Male;45
0;1;Male;46
0;3;Male;40
0;4;Male;46
71;19;Male;59
0;19;Male;40
0;19;Male;45
0;21;Male;43
0;15;Male;44
0;19;Male;52
71;18;Male;59
0;17;Male;49
0;18;Male;52
0;21;Male;48
71;18;Male;59
0;20;Male;47
0;21;Male;46
0;18;Male;41
0;18;Male;43
0;16;Male;42
71;18;Male;59
71;21;Male;56
71;17;Male;56
71;20;Male;56
0;15;Male;48
0;16;Male;48
0;20;Male;42
0;18;Male;54
71;21;Male;57
0;18;Male;52
0;21;Male;51
0;20;Male;50
0;19;Male;48
71;19;Male;60
0;18;Male;44
0;16;Male;53
0;15;Male;55
0;21;Male;43
0;15;Male;49
0;20;Male;44
0;18;Male;46
0;20;Male;40
71;16;Male;56
71;17;Male;57
0;19;Male;41
0;15;Male;53
71;16;Male;58
0;18;Male;42
0;21;Male;50
0;18;Male;55
0;16;Male;52
71;15;Male;56
0;20;Male;53
71;16;Male;57
1;5;Male;48
1;4;Male;43
72;3;Male;57
1;1;Male;54
1;1;Male;52
1;4;Male;43
1;1;Male;43
72;3;Male;60
72;3;Male;57
1;3;Male;43
1;4;Male;44
1;2;Male;55
1;5;Male;42
72;5;Male;58
72;3;Male;56
72;5;Male;57
72;4;Male;60
1;2;Male;55
1;1;Male;53
1;4;Male;52
72;1;Male;58
1;1;Male;40
72;5;Male;57
1;5;Male;50
1;3;Male;51
1;3;Male;40
1;5;Male;51
1;2;Male;51
72;5;Male;60
1;1;Male;40
1;1;Male;42
1;4;Male;47
72;5;Male;57
1;1;Male;54
72;4;Male;58
1;5;Male;54
72;5;Male;60
1;1;Male;40
72;5;Male;58
1;2;Male;48
1;5;Male;53
1;3;Male;48
1;1;Male;54
72;5;Male;56
1;5;Male;53
1;5;Male;49
72;2;Male;56
1;2;Male;55
1;4;Male;40
1;3;Male;46
1;5;Male;55
1;4;Male;42
72;5;Male;60
1;5;Male;49
1;2;Male;52
1;1;Male;44
1;3;Male;53
1;3;Male;41
1;3;Male;43
1;2;Male;49
1;4;Male;48
1;1;Male;40
1;5;Male;51
1;1;Male;48
72;2;Male;60
1;3;Male;42
72;3;Male;56
72;4;Male;60
72;16;Male;58
1;17;Male;47
1;18;Male;51
1;15;Male;48
72;15;Male;59
1;15;Male;41
1;18;Male;51
72;17;Male;57
1;17;Male;44
1;21;Male;51
1;20;Male;47
1;18;Male;46
1;16;Male;41
1;17;Male;48
1;17;Male;41
1;17;Male;48
1;16;Male;44
1;20;Male;43
1;21;Male;53
1;15;Male;43
1;19;Male;53
72;21;Male;60
72;20;Male;60
1;16;Male;46
1;20;Male;54
72;15;Male;57
72;20;Male;57
1;20;Male;51
1;15;Male;50
1;17;Male;41
1;17;Male;44
1;17;Male;41
1;17;Male;42
1;19;Male;53
1;21;Male;45
1;15;Male;55
1;15;Male;49
1;17;Male;45
1;20;Male;41
1;21;Male;43
1;15;Male;51
1;15;Male;46
72;17;Male;59
2;2;Male;50
2;1;Male;51
2;1;Male;42
2;4;Male;55
2;2;Male;42
2;4;Male;53
2;2;Male;41
72;1;Male;58
2;5;Male;45
2;2;Male;40
2;1;Male;45
2;2;Male;54
2;2;Male;54
2;2;Male;55
2;1;Male;46
2;5;Male;49
2;2;Male;46
72;2;Male;57
2;5;Male;46
2;4;Male;44
2;1;Male;53
72;2;Male;57
2;4;Male;55
2;5;Male;44
2;4;Male;47
2;5;Male;48
2;5;Male;50
2;4;Male;54
2;4;Male;46
2;3;Male;47
2;2;Male;54
2;3;Male;44
2;2;Male;49
2;4;Male;44
2;4;Male;51
2;1;Male;54
2;3;Male;44
2;5;Male;40
2;1;Male;41
2;1;Male;46
2;2;Male;52
2;5;Male;45
72;2;Male;58
2;4;Male;55
2;1;Male;42
2;4;Male;42
2;2;Male;52
72;5;Male;60
2;3;Male;43
2;5;Male;51
2;1;Male;40
2;4;Male;48
2;1;Male;40
2;1;Male;55
2;5;Male;54
2;4;Male;49
2;1;Male;53
2;5;Male;53
72;18;Male;57
2;15;Male;42
72;17;Male;59
2;21;Male;44
2;16;Male;41
2;16;Male;51
2;19;Male;49
72;16;Male;60
2;20;Male;55
2;15;Male;49
2;16;Male;52
2;15;Male;40
2;15;Male;44
2;15;Male;53
72;20;Male;58
2;17;Male;45
2;20;Male;47
2;20;Male;46
2;16;Male;53
2;20;Male;44
72;15;Male;59
72;16;Male;56
2;17;Male;55
2;19;Male;47
2;20;Male;46
2;21;Male;44
72;20;Male;59
2;15;Male;47
2;21;Male;49
2;18;Male;52
73;20;Male;56
2;19;Male;50
2;19;Male;50
2;18;Male;41
2;20;Male;42
2;16;Male;53
73;21;Male;57
2;18;Male;53
73;16;Male;60
73;18;Male;60
3;1;Male;49
3;4;Male;44
3;1;Male;49
3;5;Male;50
3;5;Male;46
3;5;Male;55
