empid|flightrisk|currentsalary|joblevel|yearseducation|travelamt|gender
23159|high|89655|6|20|50|Male
23160|high|66630|5|20|90|Male
23161|high|64191|5|17|60|Female
23162|high|70294|7|17|20|Male
23163|high|66165|7|18|20|Female
23164|high|85615|6|17|80|Female
23165|high|65461|5|18|20|Female
23166|high|88124|5|17|20|Male
23167|high|68441|5|16|50|Female
23168|high|80700|5|20|90|Male
23169|high||6|17|80|Female
23170|low|85276|6|16|30|Female
23171|high|66961|6|20|90|Male
23172|high|62439|7|19|40|Male
23173|high|60259|6|17|80|Female
23174|high|69734|5|17|70|Female
23175|high|77423|6|17|20|Female
23176|high|64682|5|20|50|Female
23177|high|70168|5|17|60|Female
23178|high|74475|7|19|100|Female
23179|high|84307|6|20|70|Female
23180|high|73007|6|17|10|Female
23181|high|73865|5|19|90|Female
23182|high|67198|7|18|100|Female
23183|high|80638|6|17|10|Female
23184|high|88675|6|16|30|Male
23185|high|86330|7|18|30|Male
23186|high|63984|6|19|70|Female
23187|high|63309|6|17|90|Female
23188|high|86450|7|19|90|Female
23189|high|77169|7|16|50|Male
23190|high|85672|5|17|0|Male
23191|high|77290|7|17|90|Female
23192|high|82495|5|18|50|Male
23193|high|77792|6|20|30|Male
23194|high|71994|6|17|60|Female
23195|high|64762|7|16|100|Female
23196|high|72995|5|19|40|Female
23197|high|64109|7|18|50|Male
23198|high|65639|6|19|20|Female
23199|high|82405|6|20|40|Male
23200|high|86098|5|17|40|Male
23201|high|76221|7|20|30|Female
23202|high|69250|6|19|90|Female
23203|low|85316|5|18|10|Male
23204|high|66036|5|20|30|Male
23205|high|74264|7|17|0|Female
23206|medium|65806|1|15|60|Female
23207|medium|67406|3|16|0|Female
23208|medium|69894|2|15|80|Female
23209|medium|60773|3|16|70|Female
23210|medium|65365|2|15|10|Female
23211|medium|60392|4|16|50|Female
23212|medium|56891|2|15|30|Female
23213|medium|63598|4|14|80|Female
23214|medium|62910|2|16|30|Female
23215|medium|57433|1|14|50|Female
23216|medium|56327|4|15|50|Female
23217|medium|61290|2|14|50|Female
23218|medium|62821|3|14|50|Female
23219|medium|69028|4|14|20|Female
23220|medium|61206|1|15|40|Female
23221|medium|60386|2|14|50|Female
23222|medium|66741|4|14|80|Female
23223|medium|69035|1|16|20|Female
23224|medium|60498|2|15|40|Female
23225|medium|64019|3|16|70|Female
23226|medium|59656|3|14|20|Female
23227|medium|61614|4|16|90|Female
23228|medium|63049|2|14|70|Female
23229|medium|62428|4|14|60|Female
23230|medium|56966|4|16|50|Female
23231|medium|69436|3|16|20|Female
23232|medium|64866|4|14|50|Female
23233|medium|58388|2|14|80|Female
23234|medium|64903|4|15|70|Female
23235|medium|69775|4|14|20|Female
23236|medium|66404|3|15|90|Female
23237|medium|58831|1|16|70|Female
23238|medium|56541|4|14|90|Female
23239|medium|66338|3|16|40|Female
23240|medium|60325|4|16|20|Female
23241|medium|68780|2|14|70|Female
23242|medium|64895|2|15|60|Female
23243|medium|64970|2|16|70|Female
23244|medium|64872|1|15|10|Female
23245|medium|60969|1|14|60|Female
23246|medium|68973|2|16|30|Female
23247|medium|57570|3|15|40|Female
23248|medium|58813|4|14|60|Female
23249|medium|66921|4|16|50|Female
23250|medium|64154|2|14|10|Female
23251|medium|68967|4|15|70|Female
23252|medium|55533|2|14|10|Female
23253|medium|62171|1|15|20|Female
23254|medium|60934|2|15|60|Female
23255|medium|67058|3|14|10|Female
23256|low|59269|3|14|50|Male
23257|low|49208|5|14|90|Male
23258|low|53172|4|12|70|Male
23259|low|45426|5|13|20|Female
23260|low|46260|6|13|70|Female
23261|low|45170|6|14|20|Male
23262|low|48390|6|12|70|Female
23263|low|50595|5|13|70|Male
23264|low|54748|4|14|70|Male
23265|low|51209|5|12|40|Male
23266|low|59195|5|13|80|Female
23267|low|58453|6|12|70|Female
23268|low|56511|4|13|30|Female
23269|low|50751|6|12|90|Male
23270|low|58688|3|12|90|Male
23271|low|59855|6|12|80|Male
23272|low|51175|4|13|40|Female
23273|low|54001|4|12|60|Male
23274|low|54784|3|14|50|Female
23275|low|55922|4|14|80|Male
23276|low|45431|3|14|100|Female
23277|low|51637|4|14|40|Male
23278|low|57297|3|13|80|Male
23279|low|51810|3|13|90|Male
23280|low|72520|7|13|80|Female
23281|low|75539|7|12|50|Female
23282|low|72141|4|14|70|Male
23283|low|54081|7|14|70|Female
23284|low|54178|7|12|80|Female
23285|low|57735|3|14|90|Male
23286|low|52592|6|12|70|Male
23287|low|54497|4|12|90|Male
23288|low|54718|7|13|40|Female
23289|low|70511|3|12|100|Male
23290|low|50761|5|12|90|Male
23291|low|58062|7|12|30|Female
23292|low|55809|3|13|50|Male
23293|low|48360|4|14|70|Male
23294|low|47959|7|14|100|Female
23295|low|86272|7|12|70|Female
23296|low|49155|4|13|100|Male
23297|low|52797|5|13|100|Male
23298|low|49015|4|12|60|Male
23299|low|55809|6|12|30|Male
23300|low|58047|3|13|70|Male
23301|low|47505|3|13|80|Female
23302|low|86518|5|13|50|Male
23303|low|49530|5|13|90|Male
23304|low|56845|3|12|80|Female
23305|low|50710|3|14|50|Female
23306|high|82128|6|16|50|Female
23307|high|71506|6|19|30|Male
23308|high|78165|6|17|50|Female
23309|high|75663|5|16|40|Male
23310|high|69206|7|19|80|Male
23311|high|72655|5|17|30|Male
23312|high|79056|6|18|20|Female
23313|high|89685|6|18|0|Male
23314|high|66797|6|20|40|Female
23315|high|70315|6|17|90|Female
23316|high|65605|7|17|80|Female
23317|high|65300|7|18|70|Male
23318|high|70749|5|17|20|Male
23319|high|62550|5|18|90|Female
23320|high|87576|7|18|100|Female
23321|high|88274|5|17|60|Female
23322|high|85824|7|19|70|Female
23323|high|79310|7|20|30|Male
23324|high|76557|5|16|80|Male
23325|high|83238|5|18|70|Male
23326|high|72878|5|18|30|Male
23327|high|64900|6|17|40|Male
23328|high|64402|5|18|0|Female
23329|high|86562|7|19|30|Male
23330|high|81218|6|17|30|Female
23331|high|68652|6|18|10|Male
23332|high|81777|7|20|10|Female
23333|high|78690|7|17|60|Female
23334|high|72337|6|17|20|Female
23335|high|78910|7|18|30|Female
23336|high|89081|5|18|30|Male
23337|high|66789|6|20|60|Male
23338|high|71220|5|19|30|Male
23339|high|71819|5|20|80|Female
23340|high|68940|7|16|0|Female
23341|high|82261|7|16|100|Female
23342|high|67443|6|16|50|Male
23343|high|63832|7|20|50|Female
23344|high|65214|5|16|80|Female
23345|high|67721|5|18|50|Male
23346|high|65471|5|18|90|Female
23347|high|83130|7|18|40|Female
23348|high|78009|6|17|40|Male
23349|high|73828|5|16|90|Female
23350|high|61666|7|20|90|Male
23351|high|88198|5|17|90|Female
23352|high|68792|7|18|40|Male
23353|high|82078|7|18|80|Female
23354|high|63179|7|20|10|Male
23355|high|85174|7|19|20|Male
23356|medium|62004|1|14|50|Female
23357|medium|61822|2|14|90|Female
23358|medium|59760|2|14|40|Female
23359|medium|57712|4|15|30|Female
23360|medium|66806|2|15|80|Female
23361|medium|64451|2|14|100|Female
23362|medium|69399|4|15|40|Female
23363|medium|63785|2|15|30|Female
23364|medium|63808|2|16|40|Female
23365|medium|61067|2|15|60|Female
23366|medium|67627|2|15|70|Female
23367|medium|61276|1|14|40|Female
23368|medium|59626|4|15|30|Female
23369|medium|59694|2|15|0|Female
23370|medium|58633|3|14|30|Female
23371|medium|61765|1|15|0|Female
23372|medium|60622|4|14|20|Female
23373|medium|58845|2|16|10|Female
23374|medium|59951|3|15|70|Female
23375|medium|58206|1|14|40|Female
23376|medium|62000|2|16|10|Female
23377|medium|55003|2|14|10|Female
23378|medium|65282|1|14|20|Female
23379|medium|64029|1|16|40|Female
23380|medium|64267|2|14|70|Female
23381|medium|69736|2|16|30|Female
23382|medium|59765|2|15|10|Female
23383|medium|63538|2|15|60|Female
23384|medium|60748|2|15|70|Female
23385|medium|58548|1|16|80|Female
23386|medium|66641|1|14|80|Female
23387|medium|56502|3|16|10|Female
23388|medium|68268|3|16|30|Female
23389|medium|62678|3|15|30|Female
23390|medium|68162|4|14|30|Female
23391|medium|65042|2|14|70|Female
23392|medium|65879|4|14|40|Female
23393|medium|61261|4|16|70|Female
23394|medium|59888|2|16|90|Female
23395|medium|55557|2|16|10|Female
23396|medium|55317|1|14|80|Female
23397|medium|56740|4|15|0|Female
23398|medium|68636|4|16|90|Female
23399|medium|56303|2|15|80|Female
23400|medium|67776|4|16|30|Female
23401|medium|56850|3|14|90|Female
23402|medium|62234|4|15|20|Female
23403|medium|61231|1|15|70|Female
23404|medium|68773|1|16|90|Female
23405|medium|63336|2|15|80|Female
23406|low|54698|5|12|10|Female
23407|low|50680|5|13|40|Male
23408|low|52577|3|13|80|Male
23409|low|51249|5|14|90|Male
23410|low|56925|6|12|100|Male
23411|low|49232|3|12|70|Male
23412|low|79655|3|12|50|Female
23413|high|46335|6|12|80|Female
23414|low|52313|4|14|100|Female
23415|low|45112|4|12|90|Male
23416|low|56941|3|12|80|Male
23417|low|57344|6|12|100|Female
23418|high|50473|5|14|80|Male
23419|low|53641|3|12|40|Male
23420|low|49175|4|14|70|Male
23421|low|50252|4|13|70|Male
23422|low|56369|4|12|100|Male
23423|low|57038|3|12|50|Male
23424|low|59315|3|13|80|Male
23425|low|50038|5|13|90|Male
23426|low|55178|4|12|70|Female
23427|high|48027|6|12|40|Female
23428|low|47334|5|13|40|Female
23429|low|47288|6|13|60|Male
23430|low||4|12|70|Female
23431|low|56278|6|14|90|Female
23432|low|75011|6|14|90|Male
23433|high|50897|5|13|90|Male
23434|low|51751|5|14|70|Female
23435|low|52769|5|12|50|Male
23436|low|50181|3|13|60|Male
23437|low|56675|5|13|20|Male
23438|low|50880|4|14|80|Male
23439|low|51961|3|13|70|Male
23440|low|75907|5|13|90|Female
23441|low|49419|3|12|70|Male
23442|low|48948|5|14|70|Male
23443|low|59239|3|14|100|Female
23444|low|49526|4|14|30|Male
23445|low|55717|6|12|90|Male
23446|low|48824|6|12|70|Male
23447|low|49582|4|13|70|Female
23448|low|74462|3|12|50|Male
23449|low|48577|3|14|90|Female
23450|low|47824|3|14|80|Male
23451|low|48727|6|14|90|Male
23452|low|56910|6|12|40|Female
23453|low|51344|4|14|100|Male
23454|low|51904|3|12|80|Female
23455|low|70756|4|14|70|Male
23456|high|64284|6|16|80|Male
23457|high|65718|7|17|60|Female
23458|high|86563|7|16|70|Male
23459|high|67279|6|17|60|Male
23460|high|77289|5|16|30|Male
23461|high|60735|7|18|10|Female
23462|high|66283|5|20|60|Male
23463|high|61551|6|17|0|Female
23464|high|81542|7|18|40|Female
23465|high|89920|7|20|90|Female
23466|high|84442|5|16|70|Male
23467|high|70681|7|17|0|Male
23468|high|66596|6|18|60|Male
23469|high|71239|6|20|50|Male
23470|high|87828|6|18|40|Male
23471|high|87222|5|20|70|Male
23472|high|60410|5|19|20|Male
23473|high|76613|7|16|50|Male
23474|high|71809|6|19|40|Male
23475|high|60773|6|20|70|Male
23476|high|84767|6|19|60|Male
23477|high|89830|7|16|70|Female
23478|high|85623|5|20|10|Female
23479|high|87987|5|20|30|Female
23480|high|67502|7|16|70|Female
23481|high|82410|6|18|90|Female
23482|high|74404|6|18|30|Female
23483|high|71894|7|19|30|Female
23484|high|66845|5|18|30|Female
23485|high|68212|5|16|0|Female
23486|low|72489|6|18|80|Male
23487|low|70424|5|18|50|Female
23488|low|87602|7|18|10|Female
23489|low|76248|7|17|70|Female
23490|high|61738|7|17|60|Female
23491|high|69105|7|19|50|Female
23492|high|73610|5|20|30|Female
23493|low|83278|5|17|0|Male
23494|high|62642|5|16|60|Female
23495|low|80947|7|16|20|Male
23496|low|87382|5|17|80|Male
23497|high|63013|7|16|20|Female
23498|low|83877|5|19|10|Male
23499|high|66463|7|16|100|Female
23500|low|86500|7|16|60|Male
23501|low|86650|7|16|60|Male
23502|high|78110|5|16|100|Female
23503|low|85739|5|17|60|Male
23504|high|62375|6|17|80|Female
23505|high|65778|5|18|60|Female
23506|medium|64163|4|15|100|Female
23507|medium|66784|2|16|80|Female
23508|medium|66651|4|16|20|Female
23509|medium|56879|2|15|90|Female
23510|medium|59283|4|15|10|Female
23511|medium|65336|3|14|60|Female
23512|medium|63348|2|15|70|Female
23513|medium|61527|3|16|90|Female
23514|medium|64088|4|14|20|Female
23515|medium|67213|3|16|70|Female
23516|medium|61843|1|14|30|Female
23517|medium|63606|2|14|90|Female
23518|medium|67606|4|14|60|Female
23519|medium|68569|2|16|30|Female
23520|medium|66908|1|15|10|Female
23521|medium|67276|3|15|90|Female
23522|medium|58920|1|15|80|Female
23523|medium|62547|1|16|60|Female
23524|medium|59802|1|14|70|Female
23525|medium|55664|3|16|80|Female
23526|medium|67036|4|14|80|Female
23527|medium|66552|1|15|60|Female
23528|medium|65143|2|15|40|Female
23529|medium|68108|1|14|20|Female
23530|medium|57352|2|15|80|Female
23531|medium|62676|1|16|70|Female
23532|medium|67375|3|16|30|Female
23533|medium|69993|2|14|50|Female
23534|medium|57353|3|14|70|Female
23535|medium|62123|4|16|10|Female
23536|medium|59400|2|15|30|Female
23537|medium|61558|4|14|60|Female
23538|medium|63921|1|14|50|Female
23539|medium|63098|1|14|10|Female
23540|medium|68600|2|15|60|Female
23541|medium|62714|2|15|50|Female
23542|medium|58186|1|14|30|Female
23543|medium|56781|4|15|40|Female
23544|medium|59051|1|14|10|Female
23545|medium|61960|2|14|50|Female
23546|medium||3|14|10|Female
23547|medium|64555|1|16|80|Female
23548|medium|63697|4|16|100|Female
23549|medium|57529|1|16|100|Female
23550|medium|56307|4|15|60|Female
23551|medium|59511|3|15|100|Female
23552|medium|55637|4|15|0|Female
23553|medium|64204|1|15|20|Female
23554|medium|64704|2|15|100|Female
23555|medium|55669|3|14|70|Female
23556|low|50822|6|12|30|Female
23557|low|48452|4|14|50|Male
23558|low|54627|5|12|30|Male
23559|low|50100|6|13|90|Female
23560|low|57574|4|13|40|Male
23561|low|49069|3|13|50|Male
23562|low|55873|6|13|100|Female
23563|low|59028|4|14|60|Male
23564|low|76265|5|14|40|Male
23565|low|75331|5|14|30|Female
23566|low|46263|3|13|90|Male
23567|low|57327|3|14|40|Male
23568|low|46239|4|13|70|Female
23569|low|58050|6|14|10|Male
23570|low|46269|5|13|80|Female
23571|low|59085|6|12|100|Female
23572|low|49668|5|13|80|Female
23573|low|45325|4|13|50|Male
23574|low|48864|4|12|50|Male
23575|low|51350|4|12|70|Male
23576|low|54384|6|14|50|Female
23577|low|51448|5|12|90|Female
23578|low|47533|6|14|100|Male
23579|low|45965|5|14|60|Male
23580|low|58314|4|12|70|Male
23581|low|51093|4|12|50|Male
23582|low|50764|5|12|80|Male
23583|low|45524|3|14|60|Male
23584|low|56182|6|13|80|Male
23585|low|48923|6|14|90|Male
23586|low|52762|4|12|70|Male
23587|low|52148|6|14|10|Male
23588|low|57163|3|13|90|Female
23589|low|45252|3|13|50|Male
23590|low|45022|4|12|20|Female
23591|low|55456|3|14|60|Male
23592|low|57579|5|14|0|Male
23593|high|51388|5|12|40|Female
23594|low|74645|3|13|10|Female
23595|low|55225|4|12|30|Male
23596|low|78336|3|14|40|Male
23597|low|52331|4|14|80|Female
23598|low|52214|3|14|30|Female
23599|low|48068|3|13|90|Female
23600|low|59314|5|13|40|Male
23601|low|50931|5|14|20|Male
23602|low|54562|3|14|90|Female
23603|low|58498|4|12|90|Male
23604|low|58997|5|14|30|Female
23605|low|58008|3|14|40|Male
23606|high|60450|7|19|90|Female
23607|medium|79947|6|20|40|Female
23608|high|68984|5|20|90|Female
23609|high|64495|6|20|10|Female
23610|high|64898|7|20|100|Male
